"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","398268156.424581","473296089.385475","579608938.547486","684245810.055866","757039106.145251","864301675.977654","948994413.407821","1065363128.49162","1225810055.86592","1305474860.3352","1362067039.10615","1508659217.87709","1659776536.31285","1680223463.68715","1849411061.45251","1839207486.03352","1826138994.41341","1990803463.68715","2180507318.43575","1881063631.28492","2363943575.41899","2293013743.01676","2726393631.28492","2465043407.82123","2313385195.53073","2391841396.64804","2499117877.09497","2563536267.1177","2688075584.91248","2838130181.5396","2848394661.61251","2921834588.52763","3061560247.49876","3193218428.88629","2403263785.50794","2776223324.95211","3199360728.77932","3519129076.42496","4039327140.12281","",
"Aruba","ABW","Total reserves in months of imports","FI.RES.TOTL.MO","","","","","","","","","","","","","","","","","","","","","","","","","","","4.92519446704639","4.57065640167364","3.38449796990686","2.92182222697615","2.21740042372881","1.17954637275402","1.2928753559543","1.51919849064818","1.39429822926375","1.50018068433577","1.04027318020058","0.878653885679459","1.42641112865345","1.78749876312095","1.7850343060438","2.27534437577257","2.55811560837211","2.15484096392717","0.93701780023919","0.70499047441034","0.852870309360599","0.855744944893461","1.18599382098509","2.50264881835759","3.76354670355263","1.17471977058045","3.05345052783429","3.18146073203589","3.39213963391281","4.24241135576558","5.03557327314366","4.80169322264787","4.61716936332368","4.73765122446844","8.12875540805488","8.60890892631567","6.97828441803822","5.82381270702624","","",
"Aruba","ABW","Total reserves (% of total external debt)","FI.RES.TOTL.DT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","112720000","127140000","131945000","127170000","136430000","154950000","175435000","220304999","215915000","255345000","224545000","201350001","250969999","248935000","235455000","321360614.52514","374002932.960894","336945700","339224000","324813400","401389600","455457100","691873900","686970110","708713690","689775980","768622300","653170670","680351000","815800560","922550890","907111452.513966","980247680","982300000","1212578720","1512960280","1543940590","1468151730","1902250220","",
"Aruba","ABW","Multilateral debt service (% of public and publicly guaranteed debt service)","DT.TDS.MLAT.PG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Multilateral debt service (TDS, current US$)","DT.TDS.MLAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Public and publicly guaranteed debt service (% of exports of goods, services and primary income)","DT.TDS.DPPG.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Public and publicly guaranteed debt service (% of GNI)","DT.TDS.DPPG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","DT.TDS.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Debt service (PPG and IMF only, % of exports of goods, services and primary income)","DT.TDS.DPPF.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","IMF repurchases and charges (TDS, current US$)","DT.TDS.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","195.049247697204","674.609138929365","353.454247830628","325.125160801728","402.528000326028","477.746076557875","378.930425418151","434.461264288621","337.38210776076","235.324443957495","323.288004975384","235.241694109268","290.494892235596","127.302124666559","-82.3118718080831","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Net ODA received (% of GNI)","DT.ODA.ODAT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1514518931498","4.41795322555095","3.32810618205242","3.55573970145607","3.96016524098612","2.88903747468842","3.15913340675828","2.3334767222092","1.48962721765101","1.97629230718668","1.43385017961099","1.66174039821275","0.678404591373222","-0.4392272976742","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Net official development assistance received (current US$)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","12039999.961853","40430000.3051758","20909999.8474121","19290000.9155273","24329999.9237061","29979999.5422363","24969999.3133545","29979999.5422363","24860000.6103516","18260000.2288818","25799999.2370605","19530000.6866455","25069999.6948242","11260000.2288818","-7380000.11444092","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Net financial flows, RDB nonconcessional (NFL, current US$)","DT.NFL.RDBN.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Net financial flows, RDB concessional (NFL, current US$)","DT.NFL.RDBC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","PPG, private creditors (NFL, US$)","DT.NFL.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","PPG, other private creditors (NFL, current US$)","DT.NFL.PROP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","PNG, commercial banks and other creditors (NFL, current US$)","DT.NFL.PNGC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","PNG, bonds (NFL, current US$)","DT.NFL.PNGB.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Commercial banks and other lending (PPG + PNG) (NFL, current US$)","DT.NFL.PCBO.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","PPG, commercial banks (NFL, current US$)","DT.NFL.PCBK.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","PPG, bonds (NFL, current US$)","DT.NFL.PBND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","PPG, official creditors (NFL, US$)","DT.NFL.OFFT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","IFC, private nonguaranteed (NFL, US$)","DT.NFL.NIFC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Net financial flows, others (NFL, current US$)","DT.NFL.MOTH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Net financial flows, multilateral (NFL, current US$)","DT.NFL.MLAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Net financial flows, IDA (NFL, current US$)","DT.NFL.MIDA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
